제어번호,제목,저자,발행처,발행년도,
323,물은 비밀을 알고 있다 :세상과 인간을 이해하는 가장 완벽한 재료,최종수 지음,Whale Books(웨일북),2023,
324,미디어의 이해 :인간의 확장,마셜 매클루언 지음,커뮤니케이션북스,2011,
325,"미스터 마켓 :2023년, 부의 재분배가 일어난다 .2023",이한영,Page2(페이지2북스),2022,
326,"미중전쟁 .1 ,풍계리 수소폭탄",김진명 [지음],쌤앤파커스,2017,
327,밤의 여행자들 :윤고은 장편소설,윤고은 지음,민음사,2013,
328,밤이 선생이다 :황현산 산문집,황현산 [지음],문학동네: 난다,2013,
329,"방구석 미술관 :가볍게 시작해 볼수록 빠져드는 한국 현대미술 .2 ,한국",조원재 지음,블랙피쉬: 백도씨,2020,
330,방주 :유키 하루오 장편소설,유키 하루오 지음,블루홀6(블루홀식스),2023,
331,백년 허리 :허리 보증 기간을 100년으로 늘리는 방법,정선근 [지음],사이언스북스,2015,
332,백조와 박쥐 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학,2021,
333,보다 읽다 말하다 :김영하 인사이트 3부작,김영하 지음,복복서가,2021,
334,"복제인간 윤봉구 .2 ,버킷리스트",임은하 글,비룡소,2018,
335,봄봄 딸기,김지안 글?그림,JEI 재능교육: 재능교육,2019,
336,부는 어디서 오는가 :100년 동안 단 1%만 알았던 부와 성공의 법칙: 1910년 오리지널 초판본 디자인,월리스 와틀스 지음,포레스트북스: 콘텐츠그룹 포레스트,2022,
337,부동산 트렌드 :대폭락을 기회로 전환하는 법: 하버드 박사 김경민 교수의 부동산 투자 리포트 .2023,김경민 지음,와이즈맵,2022,
338,부자 습관 가난한 습관 :부자가 되기로 마음먹은 사람들에게,톰 콜리,한국경제신문 : 한경BP,2022,
339,부자의 그릇 :돈을 다루는 능력을 키우는 법,이즈미 마사토 지음,다산북스,2020,
340,블립 :일상의 현실을 바꾸는 무한한 가능성의 발견 =Bleep,윌리암 안츠,지혜의나무,2010,
341,비행운,김애란 지음,문학과지성사,2012,
342,사람을 살리는 음식 사람을 죽이는 음식 :동의보감과 천기누설에는 없는 위대한 생태음식 이야기,최철한 지음,라의눈,2015,
343,"살면서 꼭 봐야할 영화 :특선 한국영화 시리즈 [비디오녹화자료] .[1-8] ,태백산맥",임권택 [감독],HME [공급],2015,
344,상실의 시대 :무라카미 하루키 장편소설,무라카미 하루키 [지음],문학사상사,2010,
345,선생님이 알아서는 안 되는 학교 폭력 일기,쿤룬 지음,한스미디어: 한즈미디어,2022,
346,세금 내는 아이들의 생생 경제 교실 .1,최재훈 글,Sandbox Story Kids(샌드박스스토리 키즈) : 샌드박스네트워크,2022,
347,세금 내는 아이들의 생생 경제 교실 .2,최재훈 글,Sandbox Story Kids(샌드박스스토리 키즈) : 샌드박스네트워크,2023,
348,"세상 끝의 카페 :막다른 곳, 행복은 바로 거기에 있었다",존 스트레레키 지음,북레시피,2018,
349,소년과 두더지와 여우와 말,찰리 맥커시 글?그림,상상의 힘,2020,
350,수박 수영장 :안녕달 그림책,안녕달 [지음],창비,2016,
351,순이 삼촌 :현기영 소설집,현기영 지음,창비,2008,
352,숲속의 자본주의자 :자본주의의 변두리에서 발견한 단순하지만 완전한 삶 =A capitalist in the woods,박혜윤 지음,다산초당: 다산북스,2021,
353,스타트 위드 와이 :나는 왜 이 일을 하는가,사이먼 시넥 지음,세계사: 세계사컨텐츠그룹,2021,
354,스토리만이 살길 :콘텐츠 전쟁에서 승리하는 27가지 스토리 법칙,리사 크론 지음,부키,2022,
355,슬픔을 공부하는 슬픔 :신형철 산문,신형철 [지음],한겨레출판,2018,
356,실전 리액트 프로그래밍 :리액트 훅부터 Next.js까지,이재승 지음,인사이트,2019,
